"act_name","jurisdiction","Section","Heading","implement_type","responsible_official","discretion_type","Paragraph"
"Canada National Marine Conservation Areas Act","Federal","23","Perishable things","protected_area","officer","mandatory; discretionary","(3) Where a seized thing is perishable, the marine conservation area warden or enforcement officer may dispose of it or destroy it, and any proceeds of its disposition shall be paid to the lawful owner or person lawfully entitled to possession of the thing, unless proceedings under this Act are commenced within 90 days after its seizure, or shall be retained by the warden or officer pending the outcome of those proceedings."
"Canada National Marine Conservation Areas Act","Federal","27","Orders of court","protected_area","commission","discretionary","(b) directing the person to take any action that the court considers appropriate to remedy or avoid any damage to any marine conservation area resources that resulted or may result from the commission of the offence;"
"Canada National Marine Conservation Areas Act","Federal","27","Debt due to Her Majesty","order","minister","discretionary","(1.2) If the court makes an order under paragraph (1)(h) or (l) directing a person to pay an amount to Her Majesty in right of Canada, or if the Minister incurs publication costs under subsection (1.1), the amount or the costs, as the case may be, constitute a debt due to Her Majesty in right of Canada and may be recovered in any court of competent jurisdiction."
"Canada National Marine Conservation Areas Act","Federal","5","Establishment or enlargement","order; order_in_council; protected_area","governor_in_council; council","discretionary","5 (1) Subject to section 7, for the purpose of establishing or enlarging a marine conservation area, consisting of submerged lands and waters within the internal waters, territorial sea or exclusive economic zone of Canada and any coastal lands or islands within Canada, the Governor in Council may, by order, amend Schedule 1 by adding the name and a description of the area or by altering the description of the area."
"Canada National Marine Conservation Areas Act","Federal","5","Judicial finding as to title","order; order_in_council; protected_area","governor_in_council; council","discretionary","(3) If a court of competent jurisdiction finds that Her Majesty in right of Canada does not have clear title to or an unencumbered right of ownership in lands within a marine conservation area, the Governor in Council may, by order, amend Schedule 1 by removing the name and description of the area or by altering the description of the area."
"Canada National Marine Conservation Areas Act","Federal","5","No reduction of area","order_in_council; protected_area","governor_in_council; council","discretionary","(4) Except as provided by subsection (3), no amendment may be made by the Governor in Council to Schedule 1 for the purpose of removing any portion of a marine conservation area."
"Canada National Marine Conservation Areas Act","Federal","6","Establishment or enlargement of reserves","order; order_in_council; reserve","governor_in_council; council","discretionary","6 (1) Subject to section 7, for the purpose of establishing or enlarging a reserve, consisting of submerged lands and waters within the internal waters or territorial sea of Canada and any coastal lands or islands within Canada, the Governor in Council may, by order, amend Schedule 2 by adding the name and a description of the reserve or by altering the description of the reserve."
"Canada National Marine Conservation Areas Act","Federal","6","Reserve becoming marine conservation area","order; order_in_council","governor_in_council; council","discretionary","(2) Where a claim described in subsection 4(2) is settled, the Governor in Council may, by order,"
"Canada National Marine Conservation Areas Act","Federal","6","Judicial finding as to title","order; order_in_council; reserve","governor_in_council; council","discretionary","(3) If a court of competent jurisdiction finds that Her Majesty in right of Canada does not have clear title to or an unencumbered right of ownership in lands within a reserve, the Governor in Council may, by order, amend Schedule 2 by removing the name and description of the reserve or by altering the description of the reserve."
"Canada National Marine Conservation Areas Act","Federal","7","Amendment to be tabled in Parliament","designation","committee","discretionary","and an amendment so laid stands referred to the standing committee of each House that normally considers matters relating to marine conservation areas or to such other committee as that House may designate for the purposes of this section."
