paragraph_id,actionable_type,responsible_official,discretion_type
32239,guideline; report,Minister,discretionary; mandatory
31686,authorization; licence; authorization,Minister,discretionary
31687,licence,Minister; Province,discretionary
32269,order,Officer,discretionary; mandatory
32365,,inspector; Officer,discretionary
32369,regulation; notice,inspector; Officer,mandatory
31689,regulation; order_in_council; licence,governor; Minister,discretionary
32433,,inspector; Officer,discretionary
32434,,inspector; Officer,discretionary
32469,regulation; order_in_council,governor,discretionary
32471,,Officer,discretionary
31696,order,Minister,discretionary; mandatory
31710,order,Minister,discretionary
32506,order,Advisory; Minister,discretionary
33016,order,Minister,discretionary
33026,order; authorization; authorization,Minister,discretionary
33046,regulation,Minister,discretionary; mandatory
32956,,Minister,discretionary
33890,order_in_council,governor; Lieutenant,discretionary
33905,,Board,discretionary; mandatory
33909,order_in_council,Auditor; Board; governor; Lieutenant,mandatory
34379,,Officer,discretionary; mandatory
33992,,Minister,discretionary
34226,agreement,Officer,discretionary; mandatory
34735,,Minister,discretionary
34849,agreement,Minister,discretionary
37035,,Minister,discretionary
37252,,Minister,discretionary; mandatory
37322,authorization; permit; authorization,Minister,mandatory
37366,authorization; permit; authorization,Minister,discretionary
37370,authorization; permit; authorization,Minister,discretionary
37376,,Minister,discretionary
37381,permit,Minister,mandatory
37478,certificate,Minister,discretionary
37611,,commissioner,discretionary
37759,,Minister,discretionary
37961,agreement,Minister,discretionary
37962,agreement,Minister,mandatory
37999,regulation; order_in_council; agreement,governor; Lieutenant,discretionary
38021,designation,Minister,discretionary
38349,regulation; order_in_council,governor; Lieutenant,discretionary
38369,order; plan; designation; permit; licence,Minister,discretionary
38378,authorization; plan; designation; permit; licence; authorization,Minister,mandatory
38409,order; authorization; designation; agreement; licence; authorization,Minister,discretionary
38487,regulation; order_in_council; designation,governor; Lieutenant,discretionary
38490,regulation; order_in_council; designation,governor; Lieutenant,discretionary
38929,regulation; agreement; permit; licence,Minister,discretionary
35129,licence,Minister,mandatory
35326,licence,Minister,discretionary
35352,agreement,Minister,discretionary
35371,agreement,Minister,mandatory
35372,,Minister,discretionary
35376,agreement,Minister,discretionary
35380,agreement,Minister,mandatory
35381,plan; agreement,Minister,mandatory
35382,reserve,Minister,discretionary
35421,order; agreement,Minister,discretionary
35429,regulation; agreement,Minister,discretionary
35441,agreement,Minister,discretionary
35444,agreement,Minister,discretionary
35446,regulation; agreement,Minister,discretionary
35497,regulation; licence,Minister,discretionary
35505,regulation; licence,Minister,discretionary
35647,regulation; licence,Minister,discretionary
35827,authorization; permit; licence; authorization,Minister,discretionary
36131,licence,Minister,mandatory
36132,,Minister,discretionary
36143,order_in_council; licence,governor; Lieutenant; Minister,discretionary
36144,order_in_council,governor; Lieutenant,discretionary
36145,,Minister,discretionary; mandatory
34777,order_in_council; designation,governor; Lieutenant,discretionary
36285,agreement; licence; notice,Chief,discretionary
36295,agreement; licence; notice,Minister,mandatory
36702,regulation,Minister,discretionary
36857,,Minister,mandatory
40889,designation; agreement,Minister,discretionary
40890,designation; agreement,Minister,discretionary
40955,,Board,discretionary
41028,regulation; order_in_council,governor; Lieutenant,discretionary
41029,,Board,mandatory
41032,,Board,discretionary
41034,,Board,discretionary
41092,,Commission; Minister,discretionary
41145,regulation; order_in_council,governor; Lieutenant,discretionary
41154,,Minister,discretionary
39714,exemption,Minister,discretionary
41155,regulation; order_in_council,governor; Lieutenant,discretionary
41160,regulation; order_in_council,governor; Lieutenant,discretionary
41161,regulation; order_in_council; authorization; authorization,governor; Lieutenant; Minister,discretionary
41166,,Minister,discretionary
41167,regulation; order_in_council,governor; Lieutenant,discretionary
41172,,Minister,discretionary
41206,regulation; order_in_council,governor; Lieutenant,discretionary
41216,regulation; order_in_council; plan,governor; Lieutenant,discretionary
41223,regulation; order_in_council,governor; Lieutenant,discretionary
41226,regulation; order_in_council,governor; Lieutenant,discretionary
41235,regulation; order_in_council; licence,governor; Lieutenant,discretionary
